Author,Text,Date,Score
theski2687,So 6 years from now maybe?,2024-04-14 18:14:11,70
TheBestDanEver,The line of people trying to fight mcgregor is longer than the line at fucking chick-fil-a and in-n-out combined.,2024-04-14 21:30:29,11
BrodysBootlegs,Lol zero chance McGregor agrees to fight Gaethje,2024-04-14 22:32:03,2
Alex-rhhgfff,Conors ducked him for years,2024-04-15 06:25:14,0
Empyrean_MX_Prime,In general this is true. But this fight was eerily similar to Gaethje vs Ferguson. I don't see him bouncing back from this.,2024-04-14 23:39:41,0
PuckPov,"I’ve never found max to be cocky tbh. Self confident, yes, but what MMA fighter isn’t? For the most part, he’s always been a class act, and very respectful to his opponents when it’s all said and done.",2024-04-15 00:14:46,6
Peeeing_,"That's fair, I'm just afraid that the old gaethjes dead, if he can go poriers path that's cool, I just don't want him to become tony ferguson",2024-04-14 15:22:00,0
TitanasGios,Let’s be honest if he did something like that he would have the aljo treatment for the rest of his career.,2024-04-15 05:29:45,1
spanctimony,"Very informed take you have. Ufc fans are suckers for the latest result and extrapolate to insane degrees. Max is the same guy, he needed time to heal. Justin is just long past his expiration date, but people aren’t seeing that. They love Max so much, rightfully so, that they want to think this is some huge resurgence in his career. It isn’t. It’s the end of Justin.",2024-04-14 18:17:52,-5
applepumper,If Max would have lost it would have been a comeback story and he would be shit on. But he won in spectacular fashion so we’re cool now ,2024-04-14 21:46:13,1
gotnothingman,Its also because justins has had a habit of poking people in the eyes then KOing them shortly after,2024-04-14 21:27:07,0
BenDoverDegenerate,"Justin Gaethje

>Hadn't fought Islam

>Had a two fight win streak over better competition (Atleast Poirier surely)

Charles Oliviera

>Got dominated by Islam

>Defeated Daruish(good performance)

>Got injured even though he did have a chance

I don't see your ""clear"" argument",2024-04-14 18:34:42,5
forgettable_nonsense,Yea he did win that round with the knock down.,2024-04-14 18:24:55,8
13TheGreenMan,He didn't. He had some good moments in that round but he didn't win it.,2024-04-14 18:08:23,-9
BenShapeero,I don’t think that’s how it works. When has someone coming directly off a loss got a title shot that isn’t a rematch?,2024-04-14 17:44:22,11
Skeptix_907,Islam poirier has already been announced,2024-04-14 23:31:21,0
mmmellowcorn,Robbie is like Max and Dustin had a child with male pattern baldness and gained 20lbs.,2024-04-14 21:25:48,3
lctrncprn,"Sure, it’s likely he’ll come back and have another big fight or two. But at 35 in that weight class, a decline is almost inevitable. And a suffering such a bad loss will likely only hasten that decline.",2024-04-14 17:42:11,4
splintersmaster,I'm not saying Justin shouldn't be a HOF'er. I'm just playing devil's advocate for conversational purposes only.,2024-04-14 14:15:34,14
splintersmaster,Cowboy had some very impactful and amazing moments. There's no matching gaetje's battles though.,2024-04-14 18:38:28,2
Reddings-Finest,"You mean the first fight he had for the fake BMF belt that Dana made up as a popularity trophy for him and Dustin after each of them was on a 1 fight win streak?

2 of Justin's last 6 fights were title shots at 155lb and he got slaughtered in each.",2024-04-14 17:43:29,1
reborngoat,Today's McGregor gets fucking DEVOURED by the Max that fought last night.,2024-04-14 22:35:58,39
keyser-_-soze,I agree.,2024-04-14 19:32:37,14
KaaleenBaba,Nah he is two weight classes above now,2024-04-14 22:26:23,9
OneForMany,"I kept saying it in Max's stream. If he wins the BMF belt call out daddy McGregor for a fat fucking payday. It's a great story line too since they both fought early on in their careers. And plus Conor is obviously call him out in 170lbs. Which also just perfectly makes Max a true BMF agreeing to it. Just won the BMF belt at 155lbs now going to defend it at 170. It's a very winnable fight for Max. Probably going to be a near pickem. And if Max wins he has to be crowned as one of the best P4P. He'll have so many options, 145/155/170 championship belt and his own BMF belt",2024-04-14 22:51:22,2
Smoshefty1992,In-n-out line goes faster though. Much faster.,2024-04-14 22:44:48,-1
